"Label (Grouping)","Memphis, TN-MS-AR Metro Area!!Occupied housing units!!Estimate","Memphis, TN-MS-AR Metro Area!!Occupied housing units!!Margin of Error","Memphis, TN-MS-AR Metro Area!!Percent occupied housing units!!Estimate","Memphis, TN-MS-AR Metro Area!!Percent occupied housing units!!Margin of Error","Memphis, TN-MS-AR Metro Area!!Owner-occupied housing units!!Estimate","Memphis, TN-MS-AR Metro Area!!Owner-occupied housing units!!Margin of Error","Memphis, TN-MS-AR Metro Area!!Percent owner-occupied housing units!!Estimate","Memphis, TN-MS-AR Metro Area!!Percent owner-occupied housing units!!Margin of Error","Memphis, TN-MS-AR Metro Area!!Renter-occupied housing units!!Estimate","Memphis, TN-MS-AR Metro Area!!Renter-occupied housing units!!Margin of Error","Memphis, TN-MS-AR Metro Area!!Percent renter-occupied housing units!!Estimate","Memphis, TN-MS-AR Metro Area!!Percent renter-occupied housing units!!Margin of Error","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Occupied housing units!!Margin of Error","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent occupied housing units!!Margin of Error","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Owner-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Owner-occupied housing units!!Margin of Error","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent owner-occupied housing units!!Margin of Error","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Renter-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Renter-occupied housing units!!Margin of Error","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent renter-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent renter-occupied housing units!!Margin of Error","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Occupied housing units!!Margin of Error","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent occupied housing units!!Margin of Error","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Owner-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Owner-occupied housing units!!Margin of Error","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent owner-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent owner-occupied housing units!!Margin of Error","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Renter-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Renter-occupied housing units!!Margin of Error","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent renter-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent renter-occupied housing units!!Margin of Error","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Occupied housing units!!Margin of Error","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent occupied housing units!!Margin of Error","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Owner-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Owner-occupied housing units!!Margin of Error","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent owner-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent owner-occupied housing units!!Margin of Error","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Renter-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Renter-occupied housing units!!Margin of Error","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent renter-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent renter-occupied housing units!!Margin of Error","New Orleans-Metairie, LA Metro Area!!Occupied housing units!!Estimate","New Orleans-Metairie, LA Metro Area!!Occupied housing units!!Margin of Error","New Orleans-Metairie, LA Metro Area!!Percent occupied housing units!!Estimate","New Orleans-Metairie, LA Metro Area!!Percent occupied housing units!!Margin of Error","New Orleans-Metairie, LA Metro Area!!Owner-occupied housing units!!Estimate","New Orleans-Metairie, LA Metro Area!!Owner-occupied housing units!!Margin of Error","New Orleans-Metairie, LA Metro Area!!Percent owner-occupied housing units!!Estimate","New Orleans-Metairie, LA Metro Area!!Percent owner-occupied housing units!!Margin of Error","New Orleans-Metairie, LA Metro Area!!Renter-occupied housing units!!Estimate","New Orleans-Metairie, LA Metro Area!!Renter-occupied housing units!!Margin of Error","New Orleans-Metairie, LA Metro Area!!Percent renter-occupied housing units!!Estimate","New Orleans-Metairie, LA Metro Area!!Percent renter-occupied housing units!!Margin of Error","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Occupied housing units!!Estimate","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Occupied housing units!!Margin of Error","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Percent occupied housing units!!Estimate","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Percent occupied housing units!!Margin of Error","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Owner-occupied housing units!!Estimate","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Owner-occupied housing units!!Margin of Error","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Percent owner-occupied housing units!!Estimate","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Percent owner-occupied housing units!!Margin of Error","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Renter-occupied housing units!!Estimate","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Renter-occupied housing units!!Margin of Error","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Percent renter-occupied housing units!!Estimate","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Percent renter-occupied housing units!!Margin of Error","Oklahoma City, OK Metro Area!!Occupied housing units!!Estimate","Oklahoma City, OK Metro Area!!Occupied housing units!!Margin of Error","Oklahoma City, OK Metro Area!!Percent occupied housing units!!Estimate","Oklahoma City, OK Metro Area!!Percent occupied housing units!!Margin of Error","Oklahoma City, OK Metro Area!!Owner-occupied housing units!!Estimate","Oklahoma City, OK Metro Area!!Owner-occupied housing units!!Margin of Error","Oklahoma City, OK Metro Area!!Percent owner-occupied housing units!!Estimate","Oklahoma City, OK Metro Area!!Percent owner-occupied housing units!!Margin of Error","Oklahoma City, OK Metro Area!!Renter-occupied housing units!!Estimate","Oklahoma City, OK Metro Area!!Renter-occupied housing units!!Margin of Error","Oklahoma City, OK Metro Area!!Percent renter-occupied housing units!!Estimate","Oklahoma City, OK Metro Area!!Percent renter-occupied housing units!!Margin of Error","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Occupied housing units!!Estimate","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Occupied housing units!!Margin of Error","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent occupied housing units!!Estimate","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent occupied housing units!!Margin of Error","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Owner-occupied housing units!!Estimate","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Owner-occupied housing units!!Margin of Error","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent owner-occupied housing units!!Estimate","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent owner-occupied housing units!!Margin of Error","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Renter-occupied housing units!!Estimate","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Renter-occupied housing units!!Margin of Error","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent renter-occupied housing units!!Estimate","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","495,596","±2,199","495,596","±2,199","298,897","±2,567","298,897","±2,567","196,699","±2,481","196,699","±2,481","2,077,708","±7,077","2,077,708","±7,077","1,241,468","±9,052","1,241,468","±9,052","836,240","±5,747","836,240","±5,747","1,355,503","±2,668","1,355,503","±2,668","948,052","±3,808","948,052","±3,808","407,451","±2,867","407,451","±2,867","691,266","±2,175","691,266","±2,175","453,699","±3,450","453,699","±3,450","237,567","±3,240","237,567","±3,240","480,817","±2,271","480,817","±2,271","297,802","±2,425","297,802","±2,425","183,015","±2,038","183,015","±2,038","7,168,027","±12,058","7,168,027","±12,058","3,721,950","±17,356","3,721,950","±17,356","3,446,077","±9,956","3,446,077","±9,956","505,879","±1,749","505,879","±1,749","323,575","±2,207","323,575","±2,207","182,304","±2,211","182,304","±2,211","2,253,471","±5,237","2,253,471","±5,237","1,516,332","±7,745","1,516,332","±7,745","737,139","±5,169","737,139","±5,169"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $5,000","21,818","±1,079","4.4%","±0.2","6,252","±588","2.1%","±0.2","15,566","±905","7.9%","±0.4","79,578","±1,843","3.8%","±0.1","34,407","±1,230","2.8%","±0.1","45,171","±1,505","5.4%","±0.2","27,807","±996","2.1%","±0.1","10,086","±590","1.1%","±0.1","17,721","±761","4.3%","±0.2","20,173","±1,087","2.9%","±0.2","6,958","±540","1.5%","±0.1","13,215","±899","5.6%","±0.4","22,097","±947","4.6%","±0.2","7,671","±630","2.6%","±0.2","14,426","±730","7.9%","±0.4","240,929","±3,258","3.4%","±0.1","56,869","±1,881","1.5%","±0.1","184,060","±3,355","5.3%","±0.1","16,042","±890","3.2%","±0.2","5,466","±403","1.7%","±0.1","10,576","±797","5.8%","±0.4","88,287","±2,188","3.9%","±0.1","29,945","±1,195","2.0%","±0.1","58,342","±1,729","7.9%","±0.2"
"        $5,000 to $9,999","20,343","±852","4.1%","±0.2","5,874","±488","2.0%","±0.2","14,469","±794","7.4%","±0.4","84,223","±1,813","4.1%","±0.1","26,246","±935","2.1%","±0.1","57,977","±1,596","6.9%","±0.2","28,785","±977","2.1%","±0.1","7,423","±443","0.8%","±0.1","21,362","±969","5.2%","±0.2","18,212","±869","2.6%","±0.1","5,677","±529","1.3%","±0.1","12,535","±700","5.3%","±0.3","23,584","±977","4.9%","±0.2","7,191","±479","2.4%","±0.2","16,393","±830","9.0%","±0.4","237,685","±3,581","3.3%","±0.1","37,790","±1,272","1.0%","±0.1","199,895","±3,399","5.8%","±0.1","16,845","±843","3.3%","±0.2","4,810","±455","1.5%","±0.1","12,035","±745","6.6%","±0.4","74,663","±1,803","3.3%","±0.1","22,577","±1,105","1.5%","±0.1","52,086","±1,541","7.1%","±0.2"
"        $10,000 to $14,999","27,533","±1,229","5.6%","±0.2","9,841","±599","3.3%","±0.2","17,692","±955","9.0%","±0.5","109,718","±2,384","5.3%","±0.1","47,898","±1,420","3.9%","±0.1","61,820","±2,011","7.4%","±0.2","44,293","±1,385","3.3%","±0.1","12,759","±676","1.3%","±0.1","31,534","±1,323","7.7%","±0.3","27,275","±1,284","3.9%","±0.2","10,467","±676","2.3%","±0.1","16,808","±1,075","7.1%","±0.5","28,892","±930","6.0%","±0.2","11,763","±686","3.9%","±0.2","17,129","±755","9.4%","±0.4","330,184","±3,932","4.6%","±0.1","67,677","±1,857","1.8%","±0.1","262,507","±3,815","7.6%","±0.1","23,477","±1,057","4.6%","±0.2","8,697","±560","2.7%","±0.2","14,780","±817","8.1%","±0.4","91,737","±2,088","4.1%","±0.1","35,715","±1,387","2.4%","±0.1","56,022","±1,760","7.6%","±0.2"
"        $15,000 to $19,999","29,472","±1,187","5.9%","±0.2","12,240","±806","4.1%","±0.3","17,232","±841","8.8%","±0.4","113,777","±2,678","5.5%","±0.1","53,469","±1,807","4.3%","±0.1","60,308","±1,973","7.2%","±0.2","46,411","±1,435","3.4%","±0.1","17,556","±607","1.9%","±0.1","28,855","±1,176","7.1%","±0.3","29,317","±1,227","4.2%","±0.2","12,449","±788","2.7%","±0.2","16,868","±933","7.1%","±0.4","27,689","±1,176","5.8%","±0.2","11,675","±698","3.9%","±0.2","16,014","±923","8.8%","±0.5","296,675","±3,932","4.1%","±0.1","80,767","±2,013","2.2%","±0.1","215,908","±3,389","6.3%","±0.1","23,379","±876","4.6%","±0.2","9,306","±540","2.9%","±0.2","14,073","±743","7.7%","±0.4","94,975","±2,032","4.2%","±0.1","43,257","±1,529","2.9%","±0.1","51,718","±1,392","7.0%","±0.2"
"        $20,000 to $24,999","28,030","±1,203","5.7%","±0.2","11,891","±754","4.0%","±0.2","16,139","±1,000","8.2%","±0.5","117,618","±2,437","5.7%","±0.1","54,667","±1,689","4.4%","±0.1","62,951","±1,787","7.5%","±0.2","50,385","±1,307","3.7%","±0.1","22,268","±757","2.3%","±0.1","28,117","±1,115","6.9%","±0.3","33,491","±1,377","4.8%","±0.2","14,163","±783","3.1%","±0.2","19,328","±1,045","8.1%","±0.4","26,383","±900","5.5%","±0.2","12,507","±620","4.2%","±0.2","13,876","±800","7.6%","±0.4","291,324","±4,093","4.1%","±0.1","93,797","±1,785","2.5%","±0.1","197,527","±3,644","5.7%","±0.1","25,542","±1,042","5.0%","±0.2","11,615","±594","3.6%","±0.2","13,927","±809","7.6%","±0.4","94,019","±2,346","4.2%","±0.1","47,614","±1,517","3.1%","±0.1","46,405","±1,575","6.3%","±0.2"
"        $25,000 to $34,999","52,805","±1,726","10.7%","±0.3","25,249","±912","8.4%","±0.3","27,556","±1,380","14.0%","±0.7","214,369","±3,445","10.3%","±0.2","104,277","±2,385","8.4%","±0.2","110,092","±2,844","13.2%","±0.3","100,906","±1,829","7.4%","±0.1","50,536","±1,344","5.3%","±0.1","50,370","±1,336","12.4%","±0.3","64,823","±1,726","9.4%","±0.3","33,441","±1,143","7.4%","±0.2","31,382","±1,289","13.2%","±0.5","49,332","±1,646","10.3%","±0.3","24,701","±999","8.3%","±0.3","24,631","±1,152","13.5%","±0.6","534,186","±5,156","7.5%","±0.1","186,380","±2,578","5.0%","±0.1","347,806","±4,668","10.1%","±0.1","53,310","±1,463","10.5%","±0.3","26,444","±974","8.2%","±0.3","26,866","±1,208","14.7%","±0.7","181,617","±3,302","8.1%","±0.1","95,007","±1,969","6.3%","±0.1","86,610","±2,374","11.7%","±0.3"
"        $35,000 to $49,999","66,878","±1,756","13.5%","±0.4","37,046","±1,465","12.4%","±0.5","29,832","±1,251","15.2%","±0.6","284,558","±3,443","13.7%","±0.2","148,995","±2,417","12.0%","±0.2","135,563","±3,111","16.2%","±0.3","152,904","±2,244","11.3%","±0.2","87,849","±1,667","9.3%","±0.2","65,055","±1,574","16.0%","±0.4","97,067","±2,333","14.0%","±0.3","56,313","±1,772","12.4%","±0.4","40,754","±1,461","17.2%","±0.6","61,777","±1,572","12.8%","±0.3","35,915","±1,087","12.1%","±0.3","25,862","±1,185","14.1%","±0.6","716,829","±6,128","10.0%","±0.1","286,494","±3,866","7.7%","±0.1","430,335","±4,498","12.5%","±0.1","72,018","±1,746","14.2%","±0.3","40,398","±1,146","12.5%","±0.3","31,620","±1,228","17.3%","±0.6","254,359","±3,306","11.3%","±0.1","147,458","±2,640","9.7%","±0.2","106,901","±2,399","14.5%","±0.3"
"        $50,000 to $74,999","87,842","±1,666","17.7%","±0.3","57,562","±1,254","19.3%","±0.4","30,280","±1,205","15.4%","±0.6","355,922","±4,488","17.1%","±0.2","214,635","±3,465","17.3%","±0.2","141,287","±3,253","16.9%","±0.4","238,037","±3,207","17.6%","±0.2","161,948","±2,384","17.1%","±0.3","76,089","±1,818","18.7%","±0.4","133,189","±1,983","19.3%","±0.3","90,086","±1,676","19.9%","±0.4","43,103","±1,303","18.1%","±0.6","79,355","±1,557","16.5%","±0.3","52,826","±1,364","17.7%","±0.4","26,529","±1,138","14.5%","±0.6","1,050,888","±7,443","14.7%","±0.1","496,927","±4,536","13.4%","±0.1","553,961","±5,568","16.1%","±0.2","96,677","±1,526","19.1%","±0.3","65,569","±1,295","20.3%","±0.4","31,108","±1,108","17.1%","±0.6","361,924","±4,037","16.1%","±0.2","239,466","±2,755","15.8%","±0.2","122,458","±2,511","16.6%","±0.3"
"        $75,000 to $99,999","55,870","±1,621","11.3%","±0.3","42,146","±1,336","14.1%","±0.4","13,724","±881","7.0%","±0.5","230,988","±3,170","11.1%","±0.1","159,721","±2,948","12.9%","±0.2","71,267","±1,732","8.5%","±0.2","190,820","±2,548","14.1%","±0.2","149,160","±2,169","15.7%","±0.2","41,660","±1,528","10.2%","±0.4","92,119","±1,980","13.3%","±0.3","70,156","±1,620","15.5%","±0.4","21,963","±1,144","9.2%","±0.5","53,330","±1,370","11.1%","±0.3","39,749","±1,204","13.3%","±0.4","13,581","±676","7.4%","±0.4","824,870","±5,985","11.5%","±0.1","468,159","±4,865","12.6%","±0.1","356,711","±4,585","10.4%","±0.1","64,365","±1,520","12.7%","±0.3","49,881","±1,328","15.4%","±0.4","14,484","±767","7.9%","±0.4","275,600","±2,993","12.2%","±0.1","207,878","±2,820","13.7%","±0.2","67,722","±1,894","9.2%","±0.2"
"        $100,000 to $149,999","60,475","±1,572","12.2%","±0.3","50,339","±1,459","16.8%","±0.5","10,136","±786","5.2%","±0.4","253,575","±3,383","12.2%","±0.1","196,454","±3,057","15.8%","±0.2","57,121","±1,707","6.8%","±0.2","251,535","±2,590","18.6%","±0.2","219,536","±2,507","23.2%","±0.2","31,999","±1,132","7.9%","±0.3","97,907","±1,782","14.2%","±0.3","83,335","±1,819","18.4%","±0.4","14,572","±897","6.1%","±0.4","59,817","±1,612","12.4%","±0.3","49,820","±1,504","16.7%","±0.5","9,997","±725","5.5%","±0.4","1,152,251","±8,087","16.1%","±0.1","777,785","±7,100","20.9%","±0.1","374,466","±4,982","10.9%","±0.1","66,134","±1,282","13.1%","±0.2","56,951","±1,151","17.6%","±0.3","9,183","±602","5.0%","±0.3","364,206","±3,765","16.2%","±0.2","307,000","±3,378","20.2%","±0.2","57,206","±1,764","7.8%","±0.2"
"        $150,000 or more","44,530","±1,389","9.0%","±0.3","40,457","±1,317","13.5%","±0.4","4,073","±482","2.1%","±0.2","233,382","±2,947","11.2%","±0.1","200,699","±2,804","16.2%","±0.2","32,683","±1,305","3.9%","±0.2","223,620","±2,406","16.5%","±0.2","208,931","±2,450","22.0%","±0.2","14,689","±707","3.6%","±0.2","77,693","±1,666","11.2%","±0.2","70,654","±1,598","15.6%","±0.3","7,039","±712","3.0%","±0.3","48,561","±1,261","10.1%","±0.3","43,984","±1,174","14.8%","±0.4","4,577","±408","2.5%","±0.2","1,492,206","±9,446","20.8%","±0.1","1,169,305","±9,566","31.4%","±0.2","322,901","±3,385","9.4%","±0.1","48,090","±1,186","9.5%","±0.2","44,438","±1,021","13.7%","±0.3","3,652","±419","2.0%","±0.2","372,084","±4,117","16.5%","±0.2","340,415","±4,017","22.4%","±0.2","31,669","±1,169","4.3%","±0.2"
"        Median household income (dollars)","50,194","±394","50,194","±394","66,898","±861","66,898","±861","30,688","±488","30,688","±488","51,758","±246","51,758","±246","66,651","±411","66,651","±411","36,780","±311","36,780","±311","73,735","±375","73,735","±375","91,870","±475","91,870","±475","40,431","±427","40,431","±427","59,365","±465","59,365","±465","74,259","±528","74,259","±528","37,602","±704","37,602","±704","50,154","±490","50,154","±490","67,025","±774","67,025","±774","30,186","±544","30,186","±544","72,205","±305","72,205","±305","104,293","±326","104,293","±326","45,388","±250","45,388","±250","54,946","±482","54,946","±482","70,664","±584","70,664","±584","34,503","±621","34,503","±621","66,285","±354","66,285","±354","86,213","±471","86,213","±471","36,933","±304","36,933","±304"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $300","30,042","±1,065","6.1%","±0.2","23,666","±907","7.9%","±0.3","6,376","±463","3.2%","±0.2","82,883","±1,983","4.0%","±0.1","57,579","±1,693","4.6%","±0.1","25,304","±971","3.0%","±0.1","39,787","±1,180","2.9%","±0.1","20,027","±748","2.1%","±0.1","19,760","±917","4.8%","±0.2","37,294","±1,214","5.4%","±0.2","27,247","±1,027","6.0%","±0.2","10,047","±630","4.2%","±0.3","42,320","±1,074","8.8%","±0.2","35,436","±1,072","11.9%","±0.3","6,884","±481","3.8%","±0.3","263,566","±3,744","3.7%","±0.1","101,752","±2,403","2.7%","±0.1","161,814","±3,217","4.7%","±0.1","33,109","±1,043","6.5%","±0.2","27,587","±855","8.5%","±0.3","5,522","±502","3.0%","±0.3","76,667","±1,901","3.4%","±0.1","45,114","±1,411","3.0%","±0.1","31,553","±1,273","4.3%","±0.2"
"        $300 to $499","51,801","±1,475","10.5%","±0.3","41,074","±1,343","13.7%","±0.4","10,727","±684","5.5%","±0.3","148,158","±2,619","7.1%","±0.1","127,520","±2,559","10.3%","±0.2","20,638","±966","2.5%","±0.1","106,953","±1,680","7.9%","±0.1","87,853","±1,363","9.3%","±0.1","19,100","±926","4.7%","±0.2","78,769","±1,647","11.4%","±0.2","67,555","±1,699","14.9%","±0.3","11,214","±905","4.7%","±0.4","56,428","±1,238","11.7%","±0.2","46,323","±1,105","15.6%","±0.3","10,105","±731","5.5%","±0.4","247,978","±3,140","3.5%","±0.1","91,127","±2,084","2.4%","±0.1","156,851","±2,485","4.6%","±0.1","59,283","±1,166","11.7%","±0.2","48,538","±1,117","15.0%","±0.3","10,745","±611","5.9%","±0.3","142,411","±2,740","6.3%","±0.1","112,775","±2,247","7.4%","±0.1","29,636","±1,292","4.0%","±0.2"
"        $500 to $799","105,138","±1,890","21.2%","±0.4","49,463","±1,427","16.5%","±0.5","55,675","±1,451","28.3%","±0.7","269,344","±3,715","13.0%","±0.2","197,473","±3,010","15.9%","±0.2","71,871","±1,892","8.6%","±0.2","209,278","±2,458","15.4%","±0.2","139,893","±2,047","14.8%","±0.2","69,385","±1,491","17.0%","±0.3","115,654","±2,209","16.7%","±0.3","63,692","±1,662","14.0%","±0.3","51,962","±1,559","21.9%","±0.6","82,636","±1,650","17.2%","±0.3","44,217","±1,008","14.8%","±0.3","38,419","±1,252","21.0%","±0.7","513,393","±5,365","7.2%","±0.1","261,375","±3,503","7.0%","±0.1","252,018","±4,231","7.3%","±0.1","120,105","±2,158","23.7%","±0.4","56,500","±1,594","17.5%","±0.5","63,605","±1,379","34.9%","±0.6","309,538","±3,595","13.7%","±0.2","210,154","±2,861","13.9%","±0.2","99,384","±2,150","13.5%","±0.3"
