"Label (Grouping)","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Occupied housing units!!Margin of Error","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent occupied housing units!!Margin of Error","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Owner-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Owner-occupied housing units!!Margin of Error","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent owner-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent owner-occupied housing units!!Margin of Error","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Renter-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Renter-occupied housing units!!Margin of Error","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent renter-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent renter-occupied housing units!!Margin of Error","New Orleans-Metairie, LA Metro Area!!Occupied housing units!!Estimate","New Orleans-Metairie, LA Metro Area!!Occupied housing units!!Margin of Error","New Orleans-Metairie, LA Metro Area!!Percent occupied housing units!!Estimate","New Orleans-Metairie, LA Metro Area!!Percent occupied housing units!!Margin of Error","New Orleans-Metairie, LA Metro Area!!Owner-occupied housing units!!Estimate","New Orleans-Metairie, LA Metro Area!!Owner-occupied housing units!!Margin of Error","New Orleans-Metairie, LA Metro Area!!Percent owner-occupied housing units!!Estimate","New Orleans-Metairie, LA Metro Area!!Percent owner-occupied housing units!!Margin of Error","New Orleans-Metairie, LA Metro Area!!Renter-occupied housing units!!Estimate","New Orleans-Metairie, LA Metro Area!!Renter-occupied housing units!!Margin of Error","New Orleans-Metairie, LA Metro Area!!Percent renter-occupied housing units!!Estimate","New Orleans-Metairie, LA Metro Area!!Percent renter-occupied housing units!!Margin of Error","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Occupied housing units!!Estimate","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Occupied housing units!!Margin of Error","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Percent occupied housing units!!Estimate","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Percent occupied housing units!!Margin of Error","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Owner-occupied housing units!!Estimate","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Owner-occupied housing units!!Margin of Error","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Percent owner-occupied housing units!!Estimate","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Percent owner-occupied housing units!!Margin of Error","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Renter-occupied housing units!!Estimate","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Renter-occupied housing units!!Margin of Error","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Percent renter-occupied housing units!!Estimate","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Percent renter-occupied housing units!!Margin of Error","Oklahoma City, OK Metro Area!!Occupied housing units!!Estimate","Oklahoma City, OK Metro Area!!Occupied housing units!!Margin of Error","Oklahoma City, OK Metro Area!!Percent occupied housing units!!Estimate","Oklahoma City, OK Metro Area!!Percent occupied housing units!!Margin of Error","Oklahoma City, OK Metro Area!!Owner-occupied housing units!!Estimate","Oklahoma City, OK Metro Area!!Owner-occupied housing units!!Margin of Error","Oklahoma City, OK Metro Area!!Percent owner-occupied housing units!!Estimate","Oklahoma City, OK Metro Area!!Percent owner-occupied housing units!!Margin of Error","Oklahoma City, OK Metro Area!!Renter-occupied housing units!!Estimate","Oklahoma City, OK Metro Area!!Renter-occupied housing units!!Margin of Error","Oklahoma City, OK Metro Area!!Percent renter-occupied housing units!!Estimate","Oklahoma City, OK Metro Area!!Percent renter-occupied housing units!!Margin of Error","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Occupied housing units!!Estimate","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Occupied housing units!!Margin of Error","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent occupied housing units!!Estimate","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent occupied housing units!!Margin of Error","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Owner-occupied housing units!!Estimate","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Owner-occupied housing units!!Margin of Error","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent owner-occupied housing units!!Estimate","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent owner-occupied housing units!!Margin of Error","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Renter-occupied housing units!!Estimate","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Renter-occupied housing units!!Margin of Error","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent renter-occupied housing units!!Estimate","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","717,370","±5,392","717,370","±5,392","466,441","±7,090","466,441","±7,090","250,929","±7,218","250,929","±7,218","481,828","±4,702","481,828","±4,702","299,608","±4,822","299,608","±4,822","182,220","±5,096","182,220","±5,096","7,204,800","±11,460","7,204,800","±11,460","3,733,949","±20,321","3,733,949","±20,321","3,470,851","±20,019","3,470,851","±20,019","511,242","±4,443","511,242","±4,443","324,672","±5,064","324,672","±5,064","186,570","±5,118","186,570","±5,118","2,282,935","±8,366","2,282,935","±8,366","1,508,157","±11,471","1,508,157","±11,471","774,778","±11,515","774,778","±11,515"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $5,000","19,569","±2,577","2.7%","±0.4","6,558","±1,346","1.4%","±0.3","13,011","±2,489","5.2%","±1.0","24,157","±2,128","5.0%","±0.4","8,887","±1,367","3.0%","±0.5","15,270","±1,772","8.4%","±1.0","241,765","±8,745","3.4%","±0.1","58,742","±4,348","1.6%","±0.1","183,023","±7,699","5.3%","±0.2","15,346","±1,855","3.0%","±0.4","5,662","±903","1.7%","±0.3","9,684","±1,601","5.2%","±0.9","127,636","±6,328","5.6%","±0.3","34,235","±3,371","2.3%","±0.2","93,401","±5,919","12.1%","±0.8"
"    $5,000 to $9,999","14,142","±1,558","2.0%","±0.2","4,580","±1,062","1.0%","±0.2","9,562","±1,402","3.8%","±0.6","25,103","±2,357","5.2%","±0.5","7,748","±1,263","2.6%","±0.4","17,355","±2,136","9.5%","±1.2","254,549","±9,351","3.5%","±0.1","39,173","±4,109","1.0%","±0.1","215,376","±8,394","6.2%","±0.2","18,232","±2,028","3.6%","±0.4","5,691","±1,163","1.8%","±0.4","12,541","±1,828","6.7%","±1.0","71,073","±4,931","3.1%","±0.2","20,564","±2,283","1.4%","±0.1","50,509","±4,764","6.5%","±0.6"
"    $10,000 to $14,999","27,507","±2,344","3.8%","±0.3","11,221","±1,570","2.4%","±0.3","16,286","±2,094","6.5%","±0.8","29,636","±2,956","6.2%","±0.6","12,470","±1,716","4.2%","±0.6","17,166","±2,202","9.4%","±1.2","295,988","±8,950","4.1%","±0.1","65,180","±4,497","1.7%","±0.1","230,808","±7,799","6.6%","±0.2","23,192","±2,611","4.5%","±0.5","7,478","±1,253","2.3%","±0.4","15,714","±2,002","8.4%","±1.0","87,156","±5,148","3.8%","±0.2","33,274","±2,986","2.2%","±0.2","53,882","±4,217","7.0%","±0.5"
"    $15,000 to $19,999","25,615","±2,884","3.6%","±0.4","11,547","±1,673","2.5%","±0.4","14,068","±2,294","5.6%","±0.9","25,891","±2,376","5.4%","±0.5","10,776","±1,462","3.6%","±0.5","15,115","±1,886","8.3%","±1.0","272,239","±8,761","3.8%","±0.1","76,481","±4,184","2.0%","±0.1","195,758","±7,713","5.6%","±0.2","20,927","±2,539","4.1%","±0.5","7,512","±1,109","2.3%","±0.3","13,415","±2,191","7.2%","±1.2","86,541","±4,726","3.8%","±0.2","40,492","±3,106","2.7%","±0.2","46,049","±3,514","5.9%","±0.4"
"    $20,000 to $24,999","30,154","±2,874","4.2%","±0.4","12,993","±1,877","2.8%","±0.4","17,161","±2,265","6.8%","±0.9","27,041","±2,477","5.6%","±0.5","13,179","±1,766","4.4%","±0.6","13,862","±1,770","7.6%","±0.9","285,875","±7,990","4.0%","±0.1","89,726","±4,668","2.4%","±0.1","196,149","±6,768","5.7%","±0.2","25,786","±1,957","5.0%","±0.4","12,138","±1,388","3.7%","±0.4","13,648","±1,766","7.3%","±0.9","92,856","±5,351","4.1%","±0.2","45,576","±3,447","3.0%","±0.2","47,280","±4,155","6.1%","±0.5"
"    $25,000 to $34,999","59,687","±4,320","8.3%","±0.6","29,231","±2,740","6.3%","±0.6","30,456","±3,310","12.1%","±1.2","48,061","±3,159","10.0%","±0.6","25,008","±2,384","8.3%","±0.8","23,053","±2,366","12.7%","±1.2","502,283","±12,144","7.0%","±0.2","176,467","±7,318","4.7%","±0.2","325,816","±8,343","9.4%","±0.3","54,326","±3,631","10.6%","±0.7","27,398","±2,526","8.4%","±0.8","26,928","±2,566","14.4%","±1.4","170,236","±6,554","7.5%","±0.3","88,209","±4,394","5.8%","±0.3","82,027","±4,686","10.6%","±0.6"
"    $35,000 to $49,999","93,177","±5,154","13.0%","±0.7","50,720","±3,031","10.9%","±0.6","42,457","±4,000","16.9%","±1.5","58,386","±3,619","12.1%","±0.7","34,646","±2,746","11.6%","±0.9","23,740","±2,373","13.0%","±1.2","696,620","±14,170","9.7%","±0.2","269,082","±8,690","7.2%","±0.2","427,538","±11,113","12.3%","±0.3","70,400","±4,042","13.8%","±0.8","39,768","±2,845","12.2%","±0.9","30,632","±2,783","16.4%","±1.5","235,631","±7,875","10.3%","±0.3","131,338","±6,086","8.7%","±0.4","104,293","±5,997","13.5%","±0.8"
"    $50,000 to $74,999","147,470","±4,956","20.6%","±0.7","91,077","±4,383","19.5%","±0.9","56,393","±3,545","22.5%","±1.4","80,974","±3,894","16.8%","±0.8","52,699","±3,239","17.6%","±1.0","28,275","±2,873","15.5%","±1.5","1,038,188","±17,415","14.4%","±0.2","478,946","±11,600","12.8%","±0.3","559,242","±14,383","16.1%","±0.4","96,620","±4,070","18.9%","±0.8","64,560","±3,492","19.9%","±1.0","32,060","±2,958","17.2%","±1.5","356,596","±9,233","15.6%","±0.4","228,108","±7,043","15.1%","±0.5","128,488","±6,470","16.6%","±0.7"
"    $75,000 to $99,999","98,369","±4,853","13.7%","±0.7","74,467","±4,625","16.0%","±0.9","23,902","±2,911","9.5%","±1.1","51,319","±3,539","10.7%","±0.7","38,237","±2,905","12.8%","±1.0","13,082","±1,751","7.2%","±1.0","831,001","±14,692","11.5%","±0.2","460,873","±11,437","12.3%","±0.3","370,128","±10,045","10.7%","±0.3","65,233","±3,998","12.8%","±0.8","49,293","±3,167","15.2%","±0.9","15,940","±2,492","8.5%","±1.3","274,552","±7,300","12.0%","±0.3","205,202","±6,151","13.6%","±0.4","69,350","±4,172","9.0%","±0.5"
"    $100,000 to $149,999","111,908","±5,198","15.6%","±0.7","92,207","±4,822","19.8%","±1.0","19,701","±2,671","7.9%","±1.1","61,839","±2,885","12.8%","±0.6","50,751","±2,834","16.9%","±1.0","11,088","±1,665","6.1%","±0.9","1,166,890","±17,762","16.2%","±0.2","766,214","±14,103","20.5%","±0.4","400,676","±11,584","11.5%","±0.3","69,567","±3,497","13.6%","±0.7","57,619","±3,243","17.7%","±1.0","11,948","±2,108","6.4%","±1.1","369,644","±8,732","16.2%","±0.4","306,298","±7,544","20.3%","±0.5","63,346","±4,261","8.2%","±0.5"
"    $150,000 or more","89,772","±4,268","12.5%","±0.6","81,840","±3,786","17.5%","±0.8","7,932","±1,862","3.2%","±0.7","49,421","±3,125","10.3%","±0.6","45,207","±2,796","15.1%","±0.9","4,214","±1,200","2.3%","±0.6","1,619,402","±17,183","22.5%","±0.2","1,253,065","±12,762","33.6%","±0.3","366,337","±11,165","10.6%","±0.3","51,613","±3,277","10.1%","±0.6","47,553","±3,041","14.6%","±0.9","4,060","±987","2.2%","±0.5","411,014","±8,401","18.0%","±0.4","374,861","±7,824","24.9%","±0.5","36,153","±3,080","4.7%","±0.4"
"    Median household income (dollars)","63,939","±1,399","63,939","±1,399","80,096","±1,593","80,096","±1,593","43,253","±1,733","43,253","±1,733","50,528","±989","50,528","±989","66,564","±1,725","66,564","±1,725","30,145","±1,324","30,145","±1,324","75,368","±538","75,368","±538","107,419","±758","107,419","±758","48,295","±717","48,295","±717","56,260","±1,403","56,260","±1,403","71,229","±1,848","71,229","±1,848","35,473","±1,343","35,473","±1,343","68,572","±885","68,572","±885","90,744","±872","90,744","±872","36,480","±837","36,480","±837"
"MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $300","36,251","±3,188","5.1%","±0.5","27,361","±2,326","5.9%","±0.5","8,890","±1,752","3.5%","±0.7","45,441","±3,085","9.4%","±0.6","38,178","±2,808","12.7%","±0.9","7,263","±1,123","4.0%","±0.6","273,525","±8,271","3.8%","±0.1","103,941","±4,784","2.8%","±0.1","169,584","±6,550","4.9%","±0.2","35,366","±2,544","6.9%","±0.5","29,138","±2,195","9.0%","±0.7","6,228","±1,310","3.3%","±0.7","81,617","±3,930","3.6%","±0.2","46,784","±2,917","3.1%","±0.2","34,833","±2,858","4.5%","±0.4"
"    $300 to $499","83,477","±4,021","11.6%","±0.5","73,206","±3,733","15.7%","±0.7","10,271","±1,893","4.1%","±0.8","54,953","±3,256","11.4%","±0.7","45,478","±2,838","15.2%","±1.0","9,475","±1,640","5.2%","±0.9","238,688","±8,434","3.3%","±0.1","82,211","±4,413","2.2%","±0.1","156,477","±7,238","4.5%","±0.2","57,906","±2,545","11.3%","±0.5","48,217","±2,452","14.9%","±0.8","9,689","±1,368","5.2%","±0.7","147,910","±5,574","6.5%","±0.2","117,029","±4,791","7.8%","±0.3","30,881","±3,011","4.0%","±0.4"
"    $500 to $799","105,728","±4,380","14.7%","±0.6","61,815","±3,280","13.3%","±0.7","43,913","±3,767","17.5%","±1.4","81,993","±4,470","17.0%","±0.9","47,258","±2,779","15.8%","±1.0","34,735","±3,346","19.1%","±1.8","496,642","±11,287","6.9%","±0.2","263,062","±7,880","7.0%","±0.2","233,580","±8,439","6.7%","±0.2","116,364","±4,626","22.8%","±0.8","56,342","±3,064","17.4%","±0.9","60,022","±3,716","32.2%","±1.8","301,159","±7,336","13.2%","±0.3","207,707","±5,210","13.8%","±0.3","93,452","±4,969","12.1%","±0.6"
