"    $800 to $999","98,442","±5,253","13.7%","±0.7","48,792","±4,177","10.5%","±0.9","49,650","±3,951","19.8%","±1.4","70,759","±3,960","14.7%","±0.8","27,338","±2,406","9.1%","±0.8","43,421","±3,517","23.8%","±1.8","568,491","±11,829","7.9%","±0.2","275,330","±7,791","7.4%","±0.2","293,161","±9,870","8.4%","±0.3","79,807","±3,863","15.6%","±0.8","34,365","±2,147","10.6%","±0.6","45,442","±3,193","24.4%","±1.6","289,723","±7,458","12.7%","±0.3","135,019","±5,738","9.0%","±0.4","154,704","±5,671","20.0%","±0.7"
"    $1,000 to $1,499","205,123","±7,297","28.6%","±1.0","116,907","±5,927","25.1%","±1.1","88,216","±4,538","35.2%","±1.8","118,889","±5,467","24.7%","±1.1","60,694","±3,763","20.3%","±1.2","58,195","±4,042","31.9%","±2.0","1,724,083","±20,464","23.9%","±0.3","625,978","±11,027","16.8%","±0.3","1,098,105","±17,984","31.6%","±0.5","122,218","±4,709","23.9%","±0.9","79,333","±3,490","24.4%","±1.0","42,885","±3,306","23.0%","±1.6","591,275","±10,054","25.9%","±0.4","314,767","±7,343","20.9%","±0.5","276,508","±7,936","35.7%","±0.9"
"    $1,500 to $1,999","90,410","±4,619","12.6%","±0.7","64,120","±4,065","13.7%","±0.9","26,290","±2,806","10.5%","±1.0","57,403","±3,524","11.9%","±0.7","41,544","±2,800","13.9%","±0.9","15,859","±2,001","8.7%","±1.0","1,272,222","±17,475","17.7%","±0.2","524,635","±10,000","14.1%","±0.3","747,587","±14,151","21.5%","±0.4","50,086","±3,528","9.8%","±0.7","40,623","±3,008","12.5%","±0.9","9,463","±1,713","5.1%","±0.9","371,581","±9,164","16.3%","±0.4","272,042","±7,775","18.0%","±0.5","99,539","±5,217","12.8%","±0.6"
"    $2,000 to $2,499","41,722","±3,130","5.8%","±0.4","34,123","±2,622","7.3%","±0.5","7,599","±1,622","3.0%","±0.6","21,541","±2,427","4.5%","±0.5","18,639","±2,210","6.2%","±0.7","2,902","±906","1.6%","±0.5","839,582","±14,793","11.7%","±0.2","505,108","±10,054","13.5%","±0.3","334,474","±11,075","9.6%","±0.3","20,585","±1,803","4.0%","±0.4","19,214","±1,810","5.9%","±0.6","1,371","±680","0.7%","±0.4","207,477","±5,831","9.1%","±0.3","176,875","±5,191","11.7%","±0.3","30,602","±2,899","3.9%","±0.4"
"    $2,500 to $2,999","21,588","±2,482","3.0%","±0.3","19,450","±2,265","4.2%","±0.5","2,138","±659","0.9%","±0.3","10,123","±1,587","2.1%","±0.3","9,281","±1,523","3.1%","±0.5","842","±328","0.5%","±0.2","608,408","±11,019","8.4%","±0.2","457,628","±9,179","12.3%","±0.2","150,780","±6,557","4.3%","±0.2","8,525","±1,408","1.7%","±0.3","8,270","±1,381","2.5%","±0.4","255","±201","0.1%","±0.1","118,417","±4,926","5.2%","±0.2","109,006","±4,826","7.2%","±0.3","9,411","±1,363","1.2%","±0.2"
"    $3,000 or more","22,681","±2,066","3.2%","±0.3","20,667","±1,876","4.4%","±0.4","2,014","±849","0.8%","±0.3","11,489","±1,264","2.4%","±0.3","11,198","±1,266","3.7%","±0.4","291","±161","0.2%","±0.1","1,080,875","±12,633","15.0%","±0.2","896,056","±11,451","24.0%","±0.3","184,819","±7,135","5.3%","±0.2","9,710","±1,391","1.9%","±0.3","9,170","±1,348","2.8%","±0.4","540","±338","0.3%","±0.2","136,398","±4,836","6.0%","±0.2","128,928","±4,667","8.5%","±0.3","7,470","±1,306","1.0%","±0.2"
"    No cash rent","11,948","±2,043","1.7%","±0.3","(X)","(X)","(X)","(X)","11,948","±2,043","4.8%","±0.8","9,237","±1,567","1.9%","±0.3","(X)","(X)","(X)","(X)","9,237","±1,567","5.1%","±0.9","102,284","±5,314","1.4%","±0.1","(X)","(X)","(X)","(X)","102,284","±5,314","2.9%","±0.2","10,675","±1,355","2.1%","±0.3","(X)","(X)","(X)","(X)","10,675","±1,355","5.7%","±0.7","37,378","±3,394","1.6%","±0.1","(X)","(X)","(X)","(X)","37,378","±3,394","4.8%","±0.4"
"    Median (dollars)","1,060","±14","1,060","±14","1,088","±20","1,088","±20","1,030","±18","1,030","±18","956","±15","956","±15","942","±29","942","±29","965","±15","965","±15","1,588","±8","1,588","±8","1,997","±13","1,997","±13","1,379","±8","1,379","±8","900","±12","900","±12","967","±20","967","±20","851","±15","851","±15","1,234","±8","1,234","±8","1,395","±13","1,395","±13","1,082","±9","1,082","±9"
"MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $20,000","75,069","±3,989","10.5%","±0.6","31,291","±2,570","6.7%","±0.5","43,778","±3,922","17.4%","±1.5","89,793","±4,086","18.6%","±0.8","35,620","±2,685","11.9%","±0.8","54,173","±3,325","29.7%","±1.6","933,114","±15,264","13.0%","±0.2","211,320","±7,902","5.7%","±0.2","721,794","±14,246","20.8%","±0.4","67,767","±4,060","13.3%","±0.8","23,779","±1,976","7.3%","±0.6","43,988","±3,611","23.6%","±1.7","279,219","±8,591","12.2%","±0.4","108,760","±5,400","7.2%","±0.3","170,459","±7,569","22.0%","±0.9"
"        Less than 20 percent","5,560","±1,377","0.8%","±0.2","3,471","±983","0.7%","±0.2","2,089","±801","0.8%","±0.3","5,728","±1,299","1.2%","±0.3","5,304","±1,246","1.8%","±0.4","424","±262","0.2%","±0.1","28,185","±3,169","0.4%","±0.1","10,151","±1,594","0.3%","±0.1","18,034","±2,651","0.5%","±0.1","4,033","±833","0.8%","±0.2","3,015","±713","0.9%","±0.2","1,018","±481","0.5%","±0.3","10,336","±1,878","0.5%","±0.1","5,507","±1,110","0.4%","±0.1","4,829","±1,338","0.6%","±0.2"
"        20 to 29 percent","8,139","±1,445","1.1%","±0.2","4,153","±936","0.9%","±0.2","3,986","±922","1.6%","±0.4","7,589","±1,282","1.6%","±0.3","4,925","±895","1.6%","±0.3","2,664","±744","1.5%","±0.4","72,777","±4,900","1.0%","±0.1","6,283","±1,391","0.2%","±0.1","66,494","±4,651","1.9%","±0.1","6,097","±1,105","1.2%","±0.2","3,350","±709","1.0%","±0.2","2,747","±931","1.5%","±0.5","24,971","±2,598","1.1%","±0.1","10,592","±1,620","0.7%","±0.1","14,379","±1,799","1.9%","±0.2"
"        30 percent or more","61,370","±4,031","8.6%","±0.6","23,667","±2,299","5.1%","±0.5","37,703","±3,997","15.0%","±1.5","76,476","±3,868","15.9%","±0.8","25,391","±2,345","8.5%","±0.8","51,085","±3,336","28.0%","±1.6","832,152","±14,334","11.5%","±0.2","194,886","±7,343","5.2%","±0.2","637,266","±13,407","18.4%","±0.4","57,637","±3,932","11.3%","±0.7","17,414","±1,614","5.4%","±0.5","40,223","±3,503","21.6%","±1.7","243,912","±7,909","10.7%","±0.3","92,661","±4,730","6.1%","±0.3","151,251","±7,186","19.5%","±0.9"
"    $20,000 to $34,999","87,551","±5,165","12.2%","±0.7","42,224","±3,199","9.1%","±0.7","45,327","±3,930","18.1%","±1.4","73,394","±3,939","15.2%","±0.8","38,187","±2,962","12.7%","±1.0","35,207","±2,800","19.3%","±1.4","770,509","±14,610","10.7%","±0.2","266,193","±8,579","7.1%","±0.2","504,316","±10,750","14.5%","±0.3","77,452","±4,125","15.1%","±0.8","39,536","±2,691","12.2%","±0.8","37,916","±3,264","20.3%","±1.7","257,851","±7,960","11.3%","±0.3","133,785","±5,662","8.9%","±0.4","124,066","±5,874","16.0%","±0.7"
"        Less than 20 percent","17,036","±2,544","2.4%","±0.4","14,662","±2,247","3.1%","±0.5","2,374","±965","0.9%","±0.4","16,901","±1,739","3.5%","±0.4","15,515","±1,766","5.2%","±0.6","1,386","±677","0.8%","±0.4","52,112","±4,605","0.7%","±0.1","25,007","±2,778","0.7%","±0.1","27,105","±3,190","0.8%","±0.1","17,848","±1,828","3.5%","±0.4","15,838","±1,583","4.9%","±0.5","2,010","±793","1.1%","±0.4","30,316","±2,571","1.3%","±0.1","24,748","±2,243","1.6%","±0.1","5,568","±1,196","0.7%","±0.2"
"        20 to 29 percent","14,819","±2,049","2.1%","±0.3","7,215","±1,395","1.5%","±0.3","7,604","±1,488","3.0%","±0.6","10,175","±1,563","2.1%","±0.3","6,041","±1,165","2.0%","±0.4","4,134","±989","2.3%","±0.5","65,219","±4,301","0.9%","±0.1","26,718","±2,793","0.7%","±0.1","38,501","±3,362","1.1%","±0.1","17,006","±1,643","3.3%","±0.3","7,631","±1,196","2.4%","±0.4","9,375","±1,399","5.0%","±0.8","36,992","±3,323","1.6%","±0.1","26,000","±2,371","1.7%","±0.2","10,992","±2,005","1.4%","±0.3"
"        30 percent or more","55,696","±4,048","7.8%","±0.6","20,347","±2,044","4.4%","±0.4","35,349","±3,437","14.1%","±1.3","46,318","±3,770","9.6%","±0.8","16,631","±2,352","5.6%","±0.8","29,687","±2,665","16.3%","±1.3","653,178","±12,171","9.1%","±0.2","214,468","±6,998","5.7%","±0.2","438,710","±9,346","12.6%","±0.3","42,598","±3,313","8.3%","±0.6","16,067","±1,949","4.9%","±0.6","26,531","±2,778","14.2%","±1.4","190,543","±7,147","8.3%","±0.3","83,037","±4,579","5.5%","±0.3","107,506","±5,662","13.9%","±0.7"
"    $35,000 to $49,999","90,617","±5,151","12.6%","±0.7","50,720","±3,031","10.9%","±0.6","39,897","±4,067","15.9%","±1.5","57,102","±3,594","11.9%","±0.7","34,646","±2,746","11.6%","±0.9","22,456","±2,297","12.3%","±1.2","683,989","±14,538","9.5%","±0.2","269,082","±8,690","7.2%","±0.2","414,907","±11,253","12.0%","±0.3","68,876","±3,983","13.5%","±0.8","39,768","±2,845","12.2%","±0.9","29,108","±2,680","15.6%","±1.4","232,622","±7,787","10.2%","±0.3","131,338","±6,086","8.7%","±0.4","101,284","±5,853","13.1%","±0.8"
"        Less than 20 percent","25,453","±2,157","3.5%","±0.3","21,713","±1,870","4.7%","±0.4","3,740","±1,169","1.5%","±0.5","19,941","±2,083","4.1%","±0.4","17,576","±1,945","5.9%","±0.6","2,365","±707","1.3%","±0.4","68,214","±4,006","0.9%","±0.1","38,734","±2,622","1.0%","±0.1","29,480","±3,021","0.8%","±0.1","23,901","±2,020","4.7%","±0.4","18,255","±1,681","5.6%","±0.5","5,646","±1,329","3.0%","±0.7","47,503","±3,241","2.1%","±0.1","38,318","±2,660","2.5%","±0.2","9,185","±1,666","1.2%","±0.2"
"        20 to 29 percent","29,658","±3,236","4.1%","±0.4","12,671","±1,923","2.7%","±0.4","16,987","±2,477","6.8%","±1.0","15,326","±2,005","3.2%","±0.4","5,900","±1,223","2.0%","±0.4","9,426","±1,549","5.2%","±0.8","120,042","±5,799","1.7%","±0.1","50,477","±2,804","1.4%","±0.1","69,565","±4,919","2.0%","±0.1","25,597","±2,737","5.0%","±0.5","10,578","±1,468","3.3%","±0.5","15,019","±2,210","8.1%","±1.2","68,934","±4,038","3.0%","±0.2","31,617","±2,597","2.1%","±0.2","37,317","±3,312","4.8%","±0.4"
"        30 percent or more","35,506","±3,841","4.9%","±0.5","16,336","±2,165","3.5%","±0.5","19,170","±2,735","7.6%","±1.0","21,835","±2,193","4.5%","±0.5","11,170","±1,700","3.7%","±0.6","10,665","±1,541","5.9%","±0.8","495,733","±12,167","6.9%","±0.2","179,871","±7,236","4.8%","±0.2","315,862","±10,085","9.1%","±0.3","19,378","±2,222","3.8%","±0.4","10,935","±1,866","3.4%","±0.6","8,443","±1,559","4.5%","±0.8","116,185","±6,262","5.1%","±0.3","61,403","±4,177","4.1%","±0.3","54,782","±4,465","7.1%","±0.6"
"    $50,000 to $74,999","146,247","±4,970","20.4%","±0.7","91,077","±4,383","19.5%","±0.9","55,170","±3,437","22.0%","±1.4","79,297","±3,787","16.5%","±0.7","52,699","±3,239","17.6%","±1.0","26,598","±2,718","14.6%","±1.4","1,023,725","±17,372","14.2%","±0.2","478,946","±11,600","12.8%","±0.3","544,779","±14,081","15.7%","±0.4","95,434","±4,106","18.7%","±0.8","64,560","±3,492","19.9%","±1.0","30,874","±2,947","16.5%","±1.5","353,328","±9,261","15.5%","±0.4","228,108","±7,043","15.1%","±0.5","125,220","±6,480","16.2%","±0.8"
"        Less than 20 percent","65,699","±4,099","9.2%","±0.6","46,775","±3,458","10.0%","±0.7","18,924","±2,293","7.5%","±0.9","39,032","±2,225","8.1%","±0.4","29,487","±2,307","9.8%","±0.8","9,545","±1,537","5.2%","±0.8","207,705","±8,523","2.9%","±0.1","124,817","±5,596","3.3%","±0.1","82,888","±5,981","2.4%","±0.2","50,481","±3,053","9.9%","±0.6","34,410","±2,547","10.6%","±0.7","16,071","±2,277","8.6%","±1.2","125,609","±5,593","5.5%","±0.2","90,256","±4,622","6.0%","±0.3","35,353","±3,274","4.6%","±0.4"
"        20 to 29 percent","55,735","±4,022","7.8%","±0.6","28,481","±2,779","6.1%","±0.6","27,254","±2,944","10.9%","±1.2","26,456","±2,486","5.5%","±0.5","13,546","±1,838","4.5%","±0.6","12,910","±2,039","7.1%","±1.1","317,656","±8,953","4.4%","±0.1","107,336","±4,844","2.9%","±0.1","210,320","±6,922","6.1%","±0.2","33,701","±2,778","6.6%","±0.5","21,467","±1,883","6.6%","±0.6","12,234","±2,106","6.6%","±1.1","126,581","±6,002","5.5%","±0.3","64,168","±3,354","4.3%","±0.2","62,413","±4,625","8.1%","±0.6"
"        30 percent or more","24,813","±2,821","3.5%","±0.4","15,821","±2,084","3.4%","±0.4","8,992","±1,768","3.6%","±0.7","13,809","±1,925","2.9%","±0.4","9,666","±1,429","3.2%","±0.5","4,143","±1,226","2.3%","±0.7","498,364","±12,157","6.9%","±0.2","246,793","±7,427","6.6%","±0.2","251,571","±9,915","7.2%","±0.3","11,252","±1,615","2.2%","±0.3","8,683","±1,325","2.7%","±0.4","2,569","±914","1.4%","±0.5","101,138","±5,319","4.4%","±0.2","73,684","±4,595","4.9%","±0.3","27,454","±2,620","3.5%","±0.3"
"    $75,000 or more","298,270","±6,499","41.6%","±0.9","248,514","±5,902","53.3%","±1.1","49,756","±4,322","19.8%","±1.6","161,532","±4,355","33.5%","±0.9","134,195","±3,745","44.8%","±1.1","27,337","±2,748","15.0%","±1.5","3,591,638","±21,348","49.9%","±0.3","2,480,152","±16,637","66.4%","±0.3","1,111,486","±17,610","32.0%","±0.4","184,849","±4,968","36.2%","±1.0","154,465","±4,919","47.6%","±1.3","30,384","±3,461","16.3%","±1.7","1,050,088","±11,839","46.0%","±0.5","886,361","±10,833","58.8%","±0.6","163,727","±6,086","21.1%","±0.8"
"        Less than 20 percent","231,112","±6,644","32.2%","±0.9","193,702","±6,174","41.5%","±1.3","37,410","±3,391","14.9%","±1.3","128,553","±3,667","26.7%","±0.8","105,824","±3,392","35.3%","±1.1","22,729","±2,589","12.5%","±1.4","2,097,158","±19,679","29.1%","±0.3","1,429,611","±14,718","38.3%","±0.4","667,547","±14,354","19.2%","±0.4","154,371","±4,532","30.2%","±0.9","126,565","±3,955","39.0%","±1.2","27,806","±3,477","14.9%","±1.7","742,848","±10,841","32.5%","±0.5","623,749","±9,555","41.4%","±0.6","119,099","±5,216","15.4%","±0.7"
"        20 to 29 percent","55,155","±4,014","7.7%","±0.6","43,977","±3,765","9.4%","±0.8","11,178","±2,178","4.5%","±0.8","25,955","±2,249","5.4%","±0.5","21,840","±2,027","7.3%","±0.7","4,115","±917","2.3%","±0.5","980,408","±14,144","13.6%","±0.2","641,024","±12,479","17.2%","±0.3","339,384","±9,389","9.8%","±0.3","25,983","±2,695","5.1%","±0.5","23,604","±2,422","7.3%","±0.7","2,379","±919","1.3%","±0.5","238,249","±7,263","10.4%","±0.3","200,583","±6,493","13.3%","±0.4","37,666","±3,375","4.9%","±0.4"
"        30 percent or more","12,003","±2,034","1.7%","±0.3","10,835","±2,008","2.3%","±0.4","1,168","±556","0.5%","±0.2","7,024","±1,389","1.5%","±0.3","6,531","±1,330","2.2%","±0.4","493","±362","0.3%","±0.2","514,072","±10,963","7.1%","±0.2","409,517","±8,847","11.0%","±0.2","104,555","±6,464","3.0%","±0.2","4,495","±953","0.9%","±0.2","4,296","±939","1.3%","±0.3","199","±177","0.1%","±0.1","68,991","±4,198","3.0%","±0.2","62,029","±3,801","4.1%","±0.2","6,962","±1,268","0.9%","±0.2"
"    Zero or negative income","7,668","±1,687","1.1%","±0.2","2,615","±951","0.6%","±0.2","5,053","±1,513","2.0%","±0.6","11,473","±1,729","2.4%","±0.4","4,261","±1,062","1.4%","±0.4","7,212","±1,258","4.0%","±0.7","99,541","±5,324","1.4%","±0.1","28,256","±3,253","0.8%","±0.1","71,285","±4,314","2.1%","±0.1","6,189","±1,125","1.2%","±0.2","2,564","±733","0.8%","±0.2","3,625","±985","1.9%","±0.5","72,449","±5,440","3.2%","±0.2","19,805","±2,562","1.3%","±0.2","52,644","±5,068","6.8%","±0.6"
"    No cash rent","11,948","±2,043","1.7%","±0.3","(X)","(X)","(X)","(X)","11,948","±2,043","4.8%","±0.8","9,237","±1,567","1.9%","±0.3","(X)","(X)","(X)","(X)","9,237","±1,567","5.1%","±0.9","102,284","±5,314","1.4%","±0.1","(X)","(X)","(X)","(X)","102,284","±5,314","2.9%","±0.2","10,675","±1,355","2.1%","±0.3","(X)","(X)","(X)","(X)","10,675","±1,355","5.7%","±0.7","37,378","±3,394","1.6%","±0.1","(X)","(X)","(X)","(X)","37,378","±3,394","4.8%","±0.4"